year	month	day	Time	Pcpn	Sol	TAir	RHum	Wind
2011	1	1	100	0	0	5.645	79.425	8.05
2011	1	1	200	0	0	4.585	74.177	7.11
2011	1	1	300	0	0	2.8917	69.282	8.31
2011	1	1	400	0	0	0.9833	70.898	6.58
2011	1	1	500	0	0	-0.1517	83.188	5.81
2011	1	1	600	0	0	-0.5117	86.782	5.48
2011	1	1	700	0	0	-1.4583	80.945	7.66
2011	1	1	800	0	0	-2.27	82.162	9.51
2011	1	1	900	0	17.37	-2.7	75.432	9.95
2011	1	1	1000	0	48.04	-3.4283	73.32	9.74
2011	1	1	1100	0	99.9	-4.2433	65.378	10.08
2011	1	1	1200	0	146.12	-4.6267	64.295	10.28
2011	1	1	1300	0	253.28	-4.3017	62.59	10.36
2011	1	1	1400	0	414.12	-3.72	57.952	9.77
2011	1	1	1500	0	291.91	-3.2833	56.732	10.03
2011	1	1	1600	0	121.23	-3.3667	60.067	10.52
2011	1	1	1700	0	14.82	-3.6867	63.297	9.91
2011	1	1	1800	0	0	-4.2533	65.413	9.07
2011	1	1	1900	0	0	-4.6433	67.135	7.33
2011	1	1	2000	0	0	-4.8633	69.107	7.15
2011	1	1	2100	0	0	-5.2183	65.472	6.33
2011	1	1	2200	0	0	-5.7133	69.483	5.07
2011	1	1	2300	0	0	-6.2433	74.43	3.75
2011	1	1	2400	0	0	-6.7167	77.553	3.25
2011	1	2	100	0	0	-6.695	74.473	4.66
2011	1	2	200	0	0	-7.0533	76.595	4.22
2011	1	2	300	0	0	-7.46	75.375	4.8
2011	1	2	400	0	0	-7.9983	77.927	4.5
2011	1	2	500	0	0	-8.545	75.547	5.58
2011	1	2	600	0	0	-8.9533	75.887	4.7
2011	1	2	700	0	0	-9.365	78.858	3.73
2011	1	2	800	0	17.32	-9.375	79.565	3.69
2011	1	2	900	0	147.37	-8.53	73.367	5.42
2011	1	2	1000	0	299.08	-7.4333	67.003	5.47
2011	1	2	1100	0	416.37	-6.16	62.26	5.31
2011	1	2	1200	0	479.46	-4.7217	57.948	6.02
2011	1	2	1300	0	479.07	-3.9083	55.822	6.8
2011	1	2	1400	0	415.26	-3.1383	52.187	6.68
2011	1	2	1500	0	296.5	-2.82	55.805	6.49
2011	1	2	1600	0	142.6	-2.67	60.703	7.56
2011	1	2	1700	0	14.52	-2.89	66.938	6.98
2011	1	2	1800	0	0	-3.6283	75.1	5.28
2011	1	2	1900	0	0	-4.2667	78.972	5.78
2011	1	2	2000	0	0	-4.7433	81	5.54
2011	1	2	2100	0	0	-5.1483	82.265	4.67
2011	1	2	2200	0	0	-5.6333	84.45	3.77
2011	1	2	2300	0	0	-5.71	84.945	4.31
2011	1	2	2400	0	0	-5.5617	82.508	4.35
2011	1	3	100	0	0	-5.3133	80.223	4.64
2011	1	3	200	0	0	-4.9333	79.008	5.88
2011	1	3	300	0	0	-4.5033	78.67	7.04
2011	1	3	400	0	0	-4.55	80.777	6.3
2011	1	3	500	0	0	-4.665	81.52	5.63
2011	1	3	600	0	0	-4.7383	82.433	5.57
2011	1	3	700	0	0	-5.0283	83.478	4.76
2011	1	3	800	0	16.07	-5.1033	85.328	4.77
2011	1	3	900	0	139.9	-3.7883	81.083	5.47
2011	1	3	1000	0	288.39	-1.7617	72.785	6.57
2011	1	3	1100	0	403.71	0.0267	66.16	7.23
2011	1	3	1200	0	460.86	1.1983	61.532	8.4
2011	1	3	1300	0	455.93	1.9433	62.002	8.21
2011	1	3	1400	0	303.64	2.4883	61.357	7.65
2011	1	3	1500	0	195.35	2.9967	61.897	5.78
2011	1	3	1600	0	128.13	3.1517	63.99	5
2011	1	3	1700	0	8.32	1.6167	75.073	4.27
2011	1	3	1800	0	0	1.3933	73.42	5.44
2011	1	3	1900	0	0	0.8417	75.89	4.68
2011	1	3	2000	0	0	0.3183	78.202	4.5
2011	1	3	2100	0	0	-0.2567	79.965	5.1
2011	1	3	2200	0	0	-0.6583	79.813	4.72
2011	1	3	2300	0	0	-0.905	78.423	4.82
2011	1	3	2400	0	0	-1.6833	84.013	3.94
2011	1	4	100	0	0	-1.9467	86.013	4.35
2011	1	4	200	0	0	-2.385	88.258	4.1
2011	1	4	300	0	0	-2.87	88.158	3.4
2011	1	4	400	0	0	-2.8933	87.368	3.85
