year	month	day	Time	Pcpn	Sol	TAir	RHum	Wind
2008	1	1	100	0.127	0	-4.185	90.59	12.34
2008	1	1	200	0.127	0	-5.65	90.405	12.22
2008	1	1	300	0.127	0	-7.21	89.225	11.985
2008	1	1	400	0.127	0	-7.645	89.32	11.54
2008	1	1	500	0	0	-7.3	88.135	11.51
2008	1	1	600	0.127	0	-7.115	85.32	10.975
2008	1	1	700	0.127	0	-6.915	85.84	9.37
2008	1	1	800	0.127	0	-7.05	86.48	9.545
2008	1	1	900	0.127	27.71	-7.42	85.92	9.91
2008	1	1	1000	0.127	98.11	-7.835	84.21	10.8
2008	1	1	1100	0.127	166.64	-8.275	81.675	10.985
2008	1	1	1200	0.127	226.12	-8.75	80.695	12.25
2008	1	1	1300	0.127	165.76	-8.695	82.21	11.38
2008	1	1	1400	0.127	154.68	-8.57	82.405	11.04
2008	1	1	1500	0.127	111.11	-8.78	85.01	10.95
2008	1	1	1600	0.127	63.71	-9.5	85.37	12.05
2008	1	1	1700	0.127	7.3	-9.96	82.335	11.765
2008	1	1	1800	0.127	0	-10.64	81.925	12.28
2008	1	1	1900	0.127	0	-11.495	79.12	13.305
2008	1	1	2000	0	0	-12.135	78.935	12.63
2008	1	1	2100	0	0	-12.875	78.68	12.515
2008	1	1	2200	0	0	-13.64	78.99	11.485
2008	1	1	2300	0	0	-14.1	79.13	9.9
2008	1	1	2400	0	0	-14.575	80.705	9.97
2008	1	2	100	0	0	-15.115	80.98	9.985
2008	1	2	200	0	0	-15.57	81.17	9.3
2008	1	2	300	0	0	-15.975	80.895	8.44
2008	1	2	400	0	0	-16.32	80.505	8
2008	1	2	500	0	0	-16.5	80.715	8.48
2008	1	2	600	0	0	-16.7	81.435	8.655
2008	1	2	700	0	0	-16.925	82.105	8.36
2008	1	2	800	0	14.16	-16.935	81.87	8.415
2008	1	2	900	0	140.93	-16.45	80.84	8.025
2008	1	2	1000	0	288.3	-15.6	80.095	8.03
2008	1	2	1100	0	402.98	-14.675	79.53	7.75
2008	1	2	1200	0	461.09	-13.76	79.455	7.565
2008	1	2	1300	0	467.11	-12.73	79.215	7.43
2008	1	2	1400	0.127	390.92	-11.88	78.69	6.685
2008	1	2	1500	0.127	186.3	-11.375	80.205	6.685
2008	1	2	1600	0.127	105.05	-11.1	80.82	6.875
2008	1	2	1700	0.127	11.99	-11.265	81.755	6.105
2008	1	2	1800	0	0	-11.705	83.41	4.6
2008	1	2	1900	0	0	-12.27	84.445	3.745
2008	1	2	2000	0	0	-12.55	84.11	4.665
2008	1	2	2100	0	0	-13.01	84.38	3.815
2008	1	2	2200	0	0	-13.405	82.785	3.855
2008	1	2	2300	0	0	-13.93	83.07	2.62
