year	month	day	Time	Pcpn	Sol	TAir	RHum	Wind
2010	1	1	100	0	0	-13.11	82.613	5.6233
2010	1	1	200	0	0	-13.537	83.562	5.2067
2010	1	1	300	0	0	-13.957	84.893	4.805
2010	1	1	400	0	0	-14.477	85.782	4.8983
2010	1	1	500	0	0	-14.827	85.967	5.0833
2010	1	1	600	0	0	-15.123	86.432	4.9733
2010	1	1	700	0	0	-15.473	86.12	4.835
2010	1	1	800	0	10.91	-15.605	85.947	5.0083
2010	1	1	900	0	149.15	-15.298	84.398	5.7567
2010	1	1	1000	0	302.64	-14.343	82.568	5.83
2010	1	1	1100	0	420.33	-13.743	80.955	5.24
2010	1	1	1200	0	470.27	-12.835	79.418	6.1317
2010	1	1	1300	0	429.59	-12.148	78.167	6.8483
2010	1	1	1400	0	396.71	-11.61	76.585	6.505
2010	1	1	1500	0	277.13	-11.607	76.372	6.5533
2010	1	1	1600	0	123.19	-12.033	78.763	6.5367
2010	1	1	1700	0	9.72	-12.317	79.52	6.4767
2010	1	1	1800	0	0	-12.407	79.558	6.075
2010	1	1	1900	0	0	-12.375	81.122	6.6933
2010	1	1	2000	0	0	-13.252	83.708	6.6333
2010	1	1	2100	0	0	-14.272	83.733	6.2817
2010	1	1	2200	0	0	-14.928	84.3	6.1167
2010	1	1	2300	0	0	-15.375	84.897	5.65
2010	1	1	2400	0	0	-15.967	85.988	5.91
2010	1	2	100	0	0	-16.277	86.495	7.055
2010	1	2	200	0	0	-16.487	87.177	7.3433
2010	1	2	300	0	0	-17.158	86.835	6.545
2010	1	2	400	0	0	-17.487	86.5	5.875
2010	1	2	500	0	0	-17.698	86.033	4.5083
2010	1	2	600	0	0	-17.702	85.372	4.3417
2010	1	2	700	0	0	-18.255	85.523	3.345
2010	1	2	800	0	21.37	-18.748	85.408	3.7367
2010	1	2	900	0	158.27	-18.193	84.803	5.12
2010	1	2	1000	0	317.84	-17.323	82.927	5.6983
2010	1	2	1100	0	435.89	-16.528	80.765	6.0933
2010	1	2	1200	0	498.67	-16.177	80.54	5.6117
2010	1	2	1300	0	497.61	-15.64	79.522	5.3733
2010	1	2	1400	0	431.29	-14.78	79.002	4.9183
2010	1	2	1500	0	309.48	-14.7	78.772	4.9583
2010	1	2	1600	0	150.82	-14.752	77.482	4.66
2010	1	2	1700	0	17.73	-15.417	79.702	2.9683
2010	1	2	1800	0	0	-16.455	82.142	3.7883
2010	1	2	1900	0	0	-17.277	82.307	3.5767
2010	1	2	2000	0	0	-17.922	79.877	2.6283
2010	1	2	2100	0	0	-18.63	80.835	3.3783
2010	1	2	2200	0	0	-19.318	82.447	3.305
2010	1	2	2300	0	0	-19.56	82.178	3.9483
2010	1	2	2400	0	0	-18.945	79.317	4.745
2010	1	3	100	0	0	-19.163	80.368	4.06
2010	1	3	200	0	0	-19.628	81.082	3.6183
2010	1	3	300	0	0	-20.077	81.277	3.515
2010	1	3	400	0	0	-20.422	81.832	3.3933
2010	1	3	500	0	0	-19.728	80.14	3.1433
2010	1	3	600	0	0	-19.59	80.138	2.3583
2010	1	3	700	0	0	-20.098	80.732	2.9117
2010	1	3	800	0	22	-20.388	80.888	2.4433
2010	1	3	900	0	160.15	-19.452	78.938	2.7417
2010	1	3	1000	0	317.48	-17.252	74.84	3.1467
2010	1	3	1100	0	436.4	-15.062	69.96	3.12
2010	1	3	1200	0	499.48	-14.235	69.528	3.585
2010	1	3	1300	0	497.05	-13.55	68.688	3.585
2010	1	3	1400	0	429.57	-12.995	70.432	4.0517
2010	1	3	1500	0	307.3	-12.5	71.788	4.5367
2010	1	3	1600	0	149.51	-12.652	74.98	4.46
2010	1	3	1700	0	17.96	-13.302	78.237	4.7567
2010	1	3	1800	0	0	-14.572	82.558	3.1533
2010	1	3	1900	0	0	-15.413	83.887	3.5583
2010	1	3	2000	0	0	-15.567	83.825	3.5583
2010	1	3	2100	0	0	-16.165	85.105	3.5267
2010	1	3	2200	0	0	-16.263	85.763	4.0133
2010	1	3	2300	0	0	-16.35	85.818	4.1933
2010	1	3	2400	0	0	-16.717	86.15	3.235
2010	1	4	100	0	0	-17.265	87.04	3.875
2010	1	4	200	0	0	-17.37	86.812	4.3967
2010	1	4	300	0	0	-17.498	86.043	4.9183
2010	1	4	400	0	0	-17.695	85.473	4.9467
2010	1	4	500	0	0	-17.88	85.465	5.15
2010	1	4	600	0	0	-17.987	85.667	5.0783
2010	1	4	700	0	0	-18.047	85.963	5.4433
2010	1	4	800	0	20.54	-17.982	85.67	4.6283
2010	1	4	900	0	155.08	-17.168	84.743	5.685
2010	1	4	1000	0	316.71	-15.868	83.505	6.825
2010	1	4	1100	0	418.91	-14.608	81.975	6.815
2010	1	4	1200	0	426.82	-13.462	81.117	6.4333
2010	1	4	1300	0	401.59	-12.732	80.31	6.55
2010	1	4	1400	0	329.54	-12.075	80.828	7.035
2010	1	4	1500	0	203.4	-12.067	80.998	7.6
2010	1	4	1600	0	89.3	-12.003	81.063	6.8433
2010	1	4	1700	0	13.68	-12.282	81.612	7.1583
2010	1	4	1800	0	0	-11.9	81.428	7.335
2010	1	4	1900	0	0	-12.322	82.14	7.8383
2010	1	4	2000	0	0	-13.465	83.003	8.63
2010	1	4	2100	0	0	-14.382	83.847	7.24
2010	1	4	2200	0	0	-14.877	83.562	6.3433
2010	1	4	2300	0	0	-15.15	84.335	6.0333
2010	1	4	2400	0	0	-15.245	85.147	6.3117
2010	1	5	100	0	0	-15.218	85.895	5.7517
2010	1	5	200	0	0	-15.338	86.392	5.5367
2010	1	5	300	0	0	-16.05	85.793	5.4167
2010	1	5	400	0	0	-16.885	84.625	4.6567
2010	1	5	500	0	0	-17.445	84.122	4.7867
2010	1	5	600	0	0	-18.055	83.885	4.745
2010	1	5	700	0	0	-18.492	84.485	4.5317
2010	1	5	800	0	19.3	-18.628	84.605	4.775
2010	1	5	900	0	135.13	-18.068	82.882	5.4067
2010	1	5	1000	0	300.48	-16.808	81.357	5.5233
2010	1	5	1100	0	424.76	-15.613	80.62	5.68
2010	1	5	1200	0	400.18	-14.357	80.475	5.375
2010	1	5	1300	0.127	353.76	-13.793	80.318	5.2867
2010	1	5	1400	0	306.37	-13.01	80.973	4.7933
2010	1	5	1500	0	269.55	-12.567	80.485	5.83
2010	1	5	1600	0	147.28	-12.628	79.068	6.0033
2010	1	5	1700	0	19.28	-12.985	80.25	4.0633
2010	1	5	1800	0	0	-13.688	79.943	4.1983
2010	1	5	1900	0	0	-13.968	80.13	4.3883
2010	1	5	2000	0	0	-14.167	82.183	4.1833
2010	1	5	2100	0	0	-14.385	83.812	4.1017
2010	1	5	2200	0	0	-14.802	84.953	3.2117
2010	1	5	2300	0	0	-15.29	86.093	3.29
2010	1	5	2400	0	0	-15.292	86.108	4.0033
2010	1	6	100	0	0	-15.895	86.182	3.25
2010	1	6	200	0	0	-16.653	86.193	2.4867
2010	1	6	300	0	0	-17.047	85.64	2.4633
2010	1	6	400	0	0	-17.293	85.482	2.3883
2010	1	6	500	0	0	-17.907	85.602	2.56
2010	1	6	600	0	0	-17.852	84.438	2.5433
2010	1	6	700	0	0	-18.083	84.657	1.5083
2010	1	6	800	0	20.9	-18.052	84.322	1.345
2010	1	6	900	0	151.71	-17.223	81.008	1.8133
2010	1	6	1000	0	304.21	-15.648	78.602	2.2067
2010	1	6	1100	0	425.05	-13.733	76.95	2.4767
2010	1	6	1200	0	491.31	-12.365	76.855	3.2117
2010	1	6	1300	0	493.6	-10.525	75.235	2.9917
2010	1	6	1400	0	274.21	-9.7733	76.863	2.79
2010	1	6	1500	0	246.26	-8.8433	74.648	2.1267
2010	1	6	1600	0	149.7	-8.1567	72.792	1.9367
2010	1	6	1700	0	16.31	-8.8033	77.01	2.0933
2010	1	6	1800	0	0	-9.6383	79.428	1.2383
2010	1	6	1900	0	0	-10.365	82.335	0.645
2010	1	6	2000	0	0	-10.087	86.89	0.6417
2010	1	6	2100	0.127	0	-9.36	85.108	0.6367
2010	1	6	2200	0.508	0	-9.18	90.278	0.8217
2010	1	6	2300	1.016	0	-8.8267	93.68	1.4267
2010	1	6	2400	0.508	0	-8.3967	94.762	2.12
2010	1	7	100	0.762	0	-8.0167	95.03	1.9533
2010	1	7	200	1.016	0	-7.9883	95.167	2.77
2010	1	7	300	0.508	0	-7.6667	95.535	3.805
